fid,OGC_FID,3D_Easting,3D_Northing,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
259,853,301185.1222,125061.6034,Buildings,301182.61,125060.75,2.512203182,0.853410858,2.653200882
262,886,301212.9006,125052.2277,Buildings,301211.37,125051.02,1.530620056,1.207690887,1.949696138
263,921,301212.7032,125062.7152,Buildings,301210.9,125061.97,1.803241475,0.745197802,1.951153397
264,853,301185.1222,125061.6034,Buildings,301182.61,125060.75,2.512203182,0.853410858,2.653200882
299,949,301233.0965,126946.4403,Buildings,301229.851,126945.929,3.245537523,0.511298885,3.285565456
307,949,301233.0965,126946.4403,Buildings,301229.851,126945.929,3.245537523,0.511298885,3.285565456
330,914,301221.053,126965.1859,Buildings,301218.56,126964.48,2.492959672,0.705928138,2.590980985
418,1245,303019.8439,129144.344,Buildings,303019.57,129141.58,0.273903801,2.764023133,2.777561371
426,1179,302999.3467,129118.556,Buildings,302996.85,129117.47,2.496653589,1.085950019,2.722602907
576,599,301457.4354,133288.5714,Buildings,301455.56,133288.16,1.875360185,0.411409766,1.919956723
726,594,301830.1579,134876.528,Buildings,301830.1,134874.635,0.057905407,1.892952041,1.893837497
1558,25,300908.9325,142371.4976,Buildings,300907.01,142371.06,1.922470377,0.437551382,1.971634743
3346,783,302361.1848,126210.1377,Buildings,302358.63,126209,2.554805832,1.137723817,2.796685238
3347,806,302344.4141,126207.5148,Buildings,302341.62,126206.91,2.79410286,0.604845906,2.858819575
3369,891,302553.1288,127085.4358,Buildings,302551.48,127084.7,1.648792054,0.735831135,1.805536678
3374,918,302567.1787,127063.493,Buildings,302564.3,127063.32,2.878667718,0.172963689,2.883859267
3377,953,302583.9957,127042.0543,Buildings,302581.72,127041.67,2.275720988,0.384282022,2.30793819
3378,918,302567.1787,127063.493,Buildings,302564.3,127063.32,2.878667718,0.172963689,2.883859267
3463,848,303116.3565,126274.1148,Buildings,303114.06,126273.57,2.296523539,0.544799861,2.360259998
3497,899,302503.1082,127061.9244,Buildings,302499.673,127061.281,3.435186985,0.64337556,3.494916556
3503,824,303057.7004,126237.4373,Buildings,303054.53,126236.14,3.170441838,1.29728127,3.425586102
3504,777,303030.1913,126238.062,Buildings,303027.6,126237.04,2.591251231,1.022028802,2.785520744
3505,800,303029.8936,126214.5518,Buildings,303026.79,126212.66,3.103631876,1.891807126,3.634757905
3510,824,303057.7004,126237.4373,Buildings,303054.53,126236.14,3.170441838,1.29728127,3.425586102
3513,858,302584.9803,127077.3572,Buildings,302583.63,127076.72,1.350305594,0.637215074,1.493106911
3514,945,302579.1258,127089.7606,Buildings,302578,127089.1,1.125805101,0.660607428,1.305311955
3530,840,302542.1749,126152.9827,Buildings,302539.943,126152.946,2.231945124,0.036681179,2.232246524
3531,816,302541.6885,126165.3739,Buildings,302539.434,126164.755,2.254506455,0.61893604,2.337922406
3533,770,302514.2422,126163.6874,Buildings,302512.546,126163.597,1.696247087,0.090413564,1.698654995
3536,793,302514.8927,126151.548,Buildings,302513.054,126151.788,1.838650196,-0.240041409,1.854253063
3544,790,303077.1753,126277.7986,Buildings,303075.83,126277.81,1.345273234,-0.011447074,1.345321935
3545,837,303062.969,126260.4848,Buildings,303060.35,126259.93,2.61899048,0.55481716,2.677112851
3547,813,303072.5954,126253.1338,Buildings,303069.59,126251.92,3.005409068,1.213821525,3.241272337
3552,830,302400.9181,126193.0092,Buildings,302398.08,126193.08,2.838071674,-0.070804286,2.83895475
3955,1396,301303.2728,139553.0025,Buildings,301299.24,139552.64,4.03282727,0.362509949,4.049087459
3957,1394,301271.9063,139573.0084,Buildings,301269.24,139573.14,2.666327303,-0.131603318,2.669573135
3958,1395,301286.6921,139544.3134,Buildings,301284.14,139544.64,2.552111155,-0.326606748,2.57292505
3959,1396,301303.2728,139553.0025,Buildings,301299.24,139552.64,4.03282727,0.362509949,4.049087459
4563,608,302938.1273,136704.2868,Buildings,302938.407,136703.867,-0.279684668,0.419823619,0.504455532
5301,504,302522.4255,135886.7918,Buildings,302519.22,135887.28,3.205466846,-0.488183879,3.242428287
5304,461,302514.5721,135919.6267,Buildings,302511.281,135919.615,3.291113044,0.011657095,3.291133688
