fid,3D_Easting,3D_Northing,fid_2,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
1,332935.169804434,108759.909499167,1644201,Buildings,332935.167,108759.651,0.00280443375231698,0.25849916729203,0.258514379366688
3,347315.07556504,118309.583876313,833045,Buildings,347315.17,118308.73,-0.0944349598721601,0.853876312859938,0.859082486906432
5,346154.519428558,120307.195566529,398342,Buildings,346155.1,120307.44,-0.580571442085784,-0.244433470885269,0.629929298457046
6,332792.591305238,108699.231796622,1897557,Buildings,332790.508,108697.484,2.08330523839686,1.74779662169749,2.71936642384747
7,346108.446511391,119143.671272067,704735,Buildings,346108.81,119143.49,-0.363488609495107,0.181272067144164,0.406181648476891
8,346145.38343353,119147.951967999,704702,Buildings,346145.31,119148.29,0.0734335296438076,-0.338032000712701,0.345916343617614
9,334832.108752763,114809.132033177,1250207,Buildings,334832.64,114808.59,-0.531247236882336,0.542033177480334,0.758962180997542
10,346193.328861563,120288.067114648,398889,Buildings,346192.6,120288.66,0.728861562616657,-0.592885352147277,0.939548944042191
11,335066.322771648,114866.589649879,1095804,Buildings,335065.86,114866.64,0.462771648191847,-0.0503501210041577,0.465502667076497
12,334900.069941026,114781.608722276,1250195,Buildings,334900.27,114781.27,-0.200058973627165,0.338722275526379,0.393390865255566
13,333002.377605005,108733.143078532,1851720,Buildings,333002.98,108733,-0.602394994872157,0.143078531749779,0.619153612680002
14,332918.499471752,108755.162936736,1644207,Buildings,332918.741,108754.816,-0.241528247832321,0.346936736008502,0.422730402612804
15,346176.713373224,120288.764293331,398904,Buildings,346178.3,120288.61,-1.58662677608663,0.154293330750079,1.59411133817843
16,347298.632584906,118311.872842971,833041,Buildings,347298.37,118311.73,0.262584906478878,0.142842970919446,0.298922979129432
17,346138.70709281,119143.078863866,704700,Buildings,346138.51,119143.3,0.197092810005415,-0.221136134132394,0.296220805438866
18,332909.427219927,108739.814911026,2027408,Buildings,332909.475,108739.687,-0.0477800727821887,0.127911025745561,0.136543640871162
19,347306.876741824,118319.794418839,833040,Buildings,347307.27,118319.43,-0.393258175638039,0.364418839220889,0.536146512704558
20,332759.207131607,108644.659978855,1867505,Buildings,332759.036,108644.429,0.171131607377902,0.230978854757268,0.287466969213375
21,346177.825781757,120307.255531223,398894,Buildings,346178.1,120307.51,-0.274218243430369,-0.254468777260627,0.374098922252598
22,346139.493194553,119163.304834883,706027,Roads Tracks And Paths,346139.31,119163.69,0.18319455254823,-0.385165117419092,0.426511912799407
23,334863.992531468,114750.072237618,1188973,Roads Tracks And Paths,334863.43,114750.93,0.562531468458474,-0.857762381987413,1.02576700910039
24,332941.785814948,108762.337090673,1851694,Buildings,332941.15,108761.58,0.635814948240295,0.757090673156199,0.988659160573509
25,334877.160626629,114824.378686812,1250205,Buildings,334877.13,114823.68,0.0306266294210218,0.69868681175285,0.699357742036974
26,332788.101659448,108702.696957533,1897556,Buildings,332787.746,108701.087,0.355659447668586,1.60995753333555,1.6487743635379
27,334898.978701541,114767.238712547,1188970,Roads Tracks And Paths,334900.27,114768.34,-1.29129845951684,-1.10128745279508,1.69714046714891
28,332931.187895796,108761.899181855,1644202,Buildings,332931.469,108761.575,-0.281104203488212,0.324181855292409,0.429084430525707
29,332926.076311374,108553.517822554,1868459,Buildings,332926.902,108553.233,-0.825688625685871,0.284822553905542,0.873433222290232
30,346113.392267644,119143.873742361,704695,Buildings,346113.91,119143.69,-0.517732355510816,0.183742360997712,0.549370591830134
31,347310.41518839,118304.468154996,833044,Buildings,347310.07,118304.23,0.345188390405383,0.238154996084631,0.419371943542638
32,332926.734581341,108461.102447298,1698344,Buildings,332927.313,108460.971,-0.578418659337331,0.131447297622799,0.593166534391423
33,346154.700250762,120289.133072303,398341,Buildings,346155.2,120288.54,-0.499749238311779,0.593072302595829,0.775554032482277
34,332977.711261529,108685.282023788,1851716,Buildings,332977.59,108684.25,0.121261528867763,1.03202378761489,1.03912340777519
35,346104.321543334,119143.897485906,704734,Buildings,346102.61,119143.49,1.71154333424056,0.407485905729118,1.75938209276756
36,346145.548409446,119153.156025614,704703,Buildings,346145.41,119157.99,0.138409445993602,-4.8339743855322,4.83595549345956
37,346142.700904507,120288.385704185,408025,Buildings,346142.15,120285.93,0.550904506701045,2.45570418480202,2.51673972010569
38,346105.651007575,119150.13074749,704733,Buildings,346102.71,119149.19,2.94100757484557,0.940747489716159,3.08780365222698
39,346193.216054572,120306.965213064,398890,Buildings,346192.6,120307.56,0.616054572456051,-0.594786935573211,0.856326301693798
40,334885.572724437,114808.654714591,1250200,Buildings,334885.2,114808.41,0.37272443738766,0.244714590924559,0.445879734050923
41,346129.936918243,119164.814441805,706024,Roads Tracks And Paths,346131.21,119165.39,-1.27308175654616,-0.575558195079793,1.39714150850018
42,332915.673456343,108750.255136301,2027406,Buildings,332916.18,108749.91,-0.506543656927533,0.345136300573358,0.612948237901849
43,332937.188444982,108754.475618796,1644212,Buildings,332937.296,108754.177,-0.107555018155836,0.29861879631062,0.317397648763355
44,332803.797792323,108713.329981096,1897555,Buildings,332804.184,108713.683,-0.386207676725462,-0.353018903595512,0.523238679626665
45,346178.214356115,120307.088688155,398894,Buildings,346178.1,120307.51,0.114356115460396,-0.421311844591401,0.436555828659062
46,347312.500280255,118313.998740589,833047,Buildings,347312.57,118313.23,-0.0697197453118861,0.768740589483059,0.771895677410565
47,332763.828087551,108638.323847864,1699328,Roads Tracks And Paths,332764.045,108637.779,-0.216912449046504,0.544847863537143,0.586438577305707
49,335044.168032185,114869.379170781,1095807,Buildings,335044.09,114869.71,0.0780321853817441,-0.330829218626604,0.339907331272128
50,346113.519384316,119139.339133477,706042,Roads Tracks And Paths,346113.91,119139.69,-0.39061568363104,-0.350866522552678,0.52505992890979
51,346097.918906544,119158.655657271,704723,Buildings,346098.01,119159.59,-0.0910934562562034,-0.934342728898628,0.938772790838356
52,334884.20751836,114760.975904558,1188959,Roads Tracks And Paths,334885.75,114757.83,-1.54248164012097,3.14590455750294,3.50370733581275
53,334873.526182603,114831.547176629,1250206,Buildings,334873.42,114830.58,0.106182602525223,0.967176629244932,0.972987860785847
54,332971.141872629,108521.048629914,1698334,Buildings,332971.346,108520.884,-0.204127370845526,0.164629914404941,0.262242239628335
55,332874.287709386,108514.090859559,1868451,Buildings,332874.27,108514.306,0.0177093860693276,-0.215140440719551,0.215868088396491
56,346103.375499281,119148.461491297,704733,Buildings,346102.71,119149.19,0.66549928067252,-0.728508703148691,0.986718917999969
57,346098.114487694,119150.864468262,706055,Roads Tracks And Paths,346096.51,119152.29,1.60448769427603,-1.42553173845226,2.14628085264206
59,334907.324943297,114771.924992105,1188969,Roads Tracks And Paths,334905.7,114771.25,1.62494329677429,0.674992104817647,1.75956104165154
60,332914.18143867,108763.249309198,1644204,Buildings,332913.519,108762.739,0.662438669940457,0.510309198085451,0.836205996799292
61,332825.503463111,108686.018753407,1699326,Roads Tracks And Paths,332825.944,108685.922,-0.440536889364012,0.0967534070223337,0.45103655357515
62,346129.572584295,120306.220419123,398343,Buildings,346130.67,120307.36,-1.0974157047458,-1.13958087736683,1.58207642201092
63,347306.833177708,118308.139017388,833043,Buildings,347306.87,118307.93,-0.0368222917313688,0.209017388056964,0.212236070634813
64,332902.415549068,108491.770327133,1868453,Buildings,332903.877,108492.546,-1.46145093190717,-0.775672866933746,1.65454139351953
65,332917.636548433,108715.888465267,1851710,Buildings,332917.24,108715.68,0.396548432763666,0.20846526697278,0.448004940889442
66,346145.277690837,119157.800097353,704703,Buildings,346145.41,119157.99,-0.132309163396712,-0.189902646568953,0.23144919505721
67,346105.24298415,119157.30951796,704721,Buildings,346101.453,119158.245,3.78998415003298,-0.935482040193165,3.90372981967569
68,334895.927921654,114814.5998984,1250203,Buildings,334895.62,114815.09,0.307921653904486,-0.490101599949412,0.578805082230839
69,346105.20926202,119163.908475204,704719,Buildings,346104.209,119164.357,1.00026201957371,-0.448524796360289,1.09622014246761
70,332920.480863779,108747.520416612,1897638,Buildings,332921,108747.4,-0.519136221264489,0.120416611520341,0.532918921186716
71,332933.299331992,108756.470756081,1644213,Buildings,332933.38,108756.214,-0.0806680082459934,0.25675608147867,0.269130104095876
72,347311.83358202,118313.196142063,833046,Buildings,347311.87,118312.63,-0.0364179799216799,0.566142062831204,0.5673121755862
73,332897.045943799,108482.785650847,1698343,Buildings,332897.029,108483.228,0.0169437986915,-0.442349153250689,0.442673543026573
74,332767.770635426,108641.249806173,1867507,Buildings,332768.229,108641.033,-0.458364574296866,0.216806173441,0.507053251456369
76,346108.944416913,119139.489332312,706043,Roads Tracks And Paths,346108.71,119139.49,0.23441691295011,-0.000667687723762356,0.234417863832848
77,332749.195494801,108666.210734707,1867502,Buildings,332749.21,108665.377,-0.0145051986328326,0.833734707397525,0.833860877548896
78,334898.030966113,114768.322083459,1250190,Buildings,334898.31,114769.06,-0.279033887491096,-0.737916541344021,0.788911105484968
80,332940.931746289,108542.91553114,1868457,Buildings,332940.958,108543.002,-0.0262537109665573,-0.0864688603178365,0.0903665930760978
82,346104.142571775,119159.217652454,704721,Buildings,346101.453,119158.245,2.68957177532138,0.972652453783667,2.86004355394403
83,334901.670850382,114782.413576099,1250194,Buildings,334902.34,114780.74,-0.669149618363008,1.67357609856117,1.80239234614181
84,332911.402228351,108759.228282127,1644206,Buildings,332911.387,108758.655,0.0152283509960398,0.573282127355924,0.573484350457615
85,335037.935304205,114827.880236583,1095809,Buildings,335038.151,114827.574,-0.215695794671774,0.3062365828373,0.374573785130453
86,346178.032117004,120288.584407093,398904,Buildings,346178.3,120288.61,-0.267882996355183,-0.0255929069389822,0.269102762196561
87,346129.558917724,120288.006855254,398344,Buildings,346130.8,120288.46,-1.24108227604302,-0.453144746090402,1.32122116877435
88,347304.372161225,118306.243682788,833042,Buildings,347303.97,118305.43,0.402161224570591,0.81368278778973,0.90764163065242
89,332924.77380926,108730.473651571,1897643,Buildings,332924.51,108729.64,0.263809260330163,0.833651570646907,0.874397087757046
90,332911.237251388,108564.557938798,1868449,Buildings,332911.251,108564.624,-0.0137486124876887,-0.0660612016654341,0.0674767123592857
